campo_padronizado,coluna_original_2023,coluna_original_2024,coluna_original_2025_2026,anos_presente
ferramenta_estatistica_avanc_cientista,"('P8_c_11 ', 'Ferramentas de estatística avançada como SPSS, SAS, etc.')","8.c.11_Ferramentas de estatística avançada como SPSS, SAS, etc.","8.c.11_Ferramentas de estatística avançada como SPSS, SAS, etc.",3
ferramenta_etl_cientista,"('P8_c_6 ', 'Ferramentas de ETL (Apache Airflow, NiFi, Stitch, Fivetran, Pentaho etc)')","8.c.6_Ferramentas de ETL (Apache Airflow, NiFi, Stitch, Fivetran, Pentaho etc).","8.c.6_Ferramentas de ETL (Apache Airflow, NiFi, Stitch, Fivetran, Pentaho etc).",3
ferramenta_etl_utilizado_engenheiro_dados,"('P6_b ', 'Quais as ferramentas/tecnologias de ETL que você utiliza no trabalho como Data Engineer?')",6.b_ferramentas_etl_de,6.b_ferramentas_etl_de,3
ferramental_analista_dados,"('P7_b ', 'Quais as ferramentas/tecnologias de ETL que você utiliza no trabalho como Data Analyst?')",7.b_ferramentas_etl_da,7.b_ferramentas_etl_da,3
ferramentas_analise_dados_dentro_crm,"('P7_c_4 ', 'Ferramentas de análise dentro de ferramentas de CRM como Salesforce Einstein Anaytics ou Zendesk dashboards.')",7.c.4_Ferramentas de análise dentro de ferramentas de CRM como Salesforce Einstein Anaytics ou Zendesk dashboards.,7.c.4_Ferramentas de análise dentro de ferramentas de CRM como Salesforce Einstein Anaytics ou Zendesk dashboards.,3
ferramentas_auto_ml,"('P7_c_1 ', 'Ferramentas de AutoML como H2O.ai, Data Robot, BigML etc.')","7.c.1_Ferramentas de AutoML como H2O.ai, Data Robot, BigML etc.","7.c.1_Ferramentas de AutoML como H2O.ai, Data Robot, BigML etc.",3
ferramentas_avanc_estatistica_analista,"('P7_d_9 ', 'Utilizando ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises.')","7.d.9_Utilizando ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises de dados.","7.d.9_Utilizando ferramentas avançadas de estatística como SAS, SPSS, Stata etc, para realizar análises de dados.",3
ferramentas_empresa_usadas_mais_autonomia_area_neg,"('P7_c ', 'Sua empresa utiliza alguma das ferramentas listadas para dar mais autonomia em análise de dados para as áreas de negócio?')",7.c_ferramentas_autonomia_area_de_negocios,7.c_ferramentas_autonomia_area_de_negocios,3
ferramentas_meta_dados_qualidade_dados_trabalho,"('P6_g ', 'Quais as ferramentas de gestão de Qualidade de dados, Metadados e catálogo de dados você utiliza no trabalho?')",6.g_ferramentas_de_qualidade_de_dados_(dia_a_dia),6.g_ferramentas_de_qualidade_de_dados_(dia_a_dia),3
firebase,"('P4_g_18 ', 'Firebase')",4.g.18_Firebase,4.d.18_Firebase,3
firebird,"('P4_g_33 ', 'Firebird')",4.g.33_Firebird,4.d.33_Firebird,3
fivetran,"('P6_b_11 ', 'Fivetran')",6.b.11_Fivetran,6.b.11_Fivetran,3
fivetran_analista,"('P7_b_11 ', 'Fivetran')",7.b.11_Fivetran,7.b.11_Fivetran,3
flexibilidade_trab_remoto_escolha_emprego,"('P2_o_4 ', 'Flexibilidade de trabalho remoto')",2.o.4_Flexibilidade de trabalho remoto,2.o.4_Flexibilidade de trabalho remoto,3
flexibilidade_trab_remoto_insatisfacao,,2.l.4_Flexibilidade de trabalho remoto,2.l.4_Flexibilidade de trabalho remoto,2
fonte_dados_mais_utilizadas,"('P4_c ', 'Entre as fontes de dados listadas, quais você utiliza na maior parte do tempo?')",4.c_fonte_de_dado_mais_usada,,2
fontes_dados_analisou_trab,"('P4_b ', 'Quais das fontes de dados listadas você já analisou ou processou no trabalho?')",4.b_fontes_de_dados_(dia_a_dia),4.b_fontes_de_dados_(dia_a_dia),3
gcp,"('P4_h_3 ', 'Google Cloud (GCP)')",4.h.2_Google Cloud (GCP),4.e.2_Google Cloud (GCP),3
genero,"('P1_b ', 'Genero')",1.b_genero,1.b_genero,3
georefenciados,"('P4_b_8 ', 'Dados georeferenciados')",4.b.8_Dados georeferenciados,4.b.8_Dados georeferenciados,3
georeferenciados_fonte,"('P4_c_8 ', 'Dados georeferenciados')",4.c.8_Dados georeferenciados,,2
gerar_valor_area_neg_atrav_estud_experim,"('P3_d_8 ', 'h Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.')",3.d.8_Gerar valor para as áreas de negócios,3.d.8_Gerar valor para as áreas de negócios,3
gerenciar_expectativ_areas_neg_rel_equipe_dados,"('P3_d_10 ', 'j Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.')",3.d.10_Gerenciar a expectativa das áreas,3.d.10_Gerenciar a expectativa das áreas,3
gestao_equipe_em_remoto,"('P3_d_4 ', 'd Gestão de equipes no ambiente remoto.')",3.d.4_Gestão de equipes no ambiente remoto,3.d.4_Gestão de equipes no ambiente remoto,3
gestao_proj_multidisciplinaridades_empresa,"('P3_d_5 ', 'e Gestão de projetos envolvendo áreas multidisciplinares da empresa.')",3.d.5_Gestão de projetos envolvendo áreas multidisciplinares,3.d.5_Gestão de projetos envolvendo áreas multidisciplinares,3
gestor,"('P2_d ', 'Gestor?')",2.d_atua_como_gestor,2.d_atua_como_gestor,3
gestor_analise_dados,"('P3_c_6 ', 'Sou gestor da equipe responsável pela entrega de dados, estudos, relatórios e dashboards para as áreas de negócio da empresa.')","3.c.6_gestor da equipe de estudos, relatórios","3.c.6_gestor da equipe de estudos, relatórios",3
gestor_ciencia_dados,"('P3_c_8 ', 'Apesar de ser gestor ainda atuo na parte técnica, construindo soluções/análises/modelos etc.')",3.c.8_Apesar de ser gestor ainda atuo na parte técnica,3.c.8_Apesar de ser gestor ainda atuo na parte técnica,3
gestor_eng_dados,"('P3_c_5 ', 'Sou gestor da equipe responsável pela engenharia de dados e por manter o Data Lake da empresa como fonte única dos dados, garantindo a qualidade e confiabilidade da informação.')",3.c.5_gestor da equipe de engenharia de dados,3.c.5_gestor da equipe de engenharia de dados,3
gestor_ia,"('P3_c_7 ', 'Sou gestor da equipe responsável por iniciativas e projetos envolvendo Inteligência Artificial e Machine Learning.')",3.c.7_gestor da equipe de Inteligência Artificial e Machine Learning,3.c.7_gestor da equipe de Inteligência Artificial e Machine Learning,3
gestor_pessoas,"('P3_c_11 ', 'Gestão de pessoas, apoio no desenvolvimento das pessoas, evolução de carreira')",3.c.11_Gestão de pessoas,3.c.11_Gestão de pessoas,3
gestor_produtos,"('P3_c_10 ', 'Gestão de produtos de dados, cuidando da visão dos produtos, backlog, feedback de usuários etc.')",3.c.10_Gestão de produtos de dados,3.c.10_Gestão de produtos de dados,3
gestor_projetos,"('P3_c_9 ', 'Gestão de projetos de dados, cuidando das etapas, equipes envolvidas, atingimento dos objetivos etc.')",3.c.9_Gestão de projetos de dados,3.c.9_Gestão de projetos de dados,3
google_big_query,"('P4_g_22 ', 'Google BigQuery')",4.g.22_Google BigQuery,4.d.22_Google BigQuery,3
google_dataflow,"('P6_b_12 ', 'Google Dataflow')",6.b.12_Google Dataflow,6.b.12_Google Dataflow,3
google_dataflow_analista,"('P7_b_12 ', 'Google Dataflow')",7.b.12_Google Dataflow,7.b.12_Google Dataflow,3
google_firestore,"('P4_g_23 ', 'Google Firestore')",4.g.23_Google Firestore,4.d.23_Google Firestore,3
grafana,"('P4_j_19 ', 'Grafana')",4.j.15_Grafana,4.g.15_Grafana,3
hbase,"('P4_g_28 ', 'HBase')",4.g.28_HBase,4.d.28_HBase,3
hive,"('P4_g_32 ', 'Hive')",4.g.32_Hive,4.d.32_Hive,3
ia_gen_llm_melhorar_prod_ext,"('P3_f_4 ', 'AI Generativa e LLMs para melhorar produtos externos')",3.f.4 AI Generativa e LLMs para melhorar produtos externos para os clientes finais,3.f.4 AI Generativa e LLMs para melhorar produtos externos para os clientes finais,3
ia_gen_llm_melhorar_prod_int_colaboradores,,3.f.5 AI Generativa e LLMs para melhorar produtos internos para os colaboradores,3.f.5 AI Generativa e LLMs para melhorar produtos internos para os colaboradores,2
ia_gen_llm_principal_frente_neg,,3.f.6 IA Generativa e LLMs como principal frente do negócio,3.f.6 IA Generativa e LLMs como principal frente do negócio,2
ia_generativa_prioridade_empresa,"('P3_e ', 'AI Generativa é uma prioridade em sua empresa?')",3.e_ai_generativa_e_llm_é_uma_prioridade?,3.e_ai_generativa_e_llm_é_uma_prioridade?,3
ia_llm_empresa_descentralizada_independente,"('P3_f_1 ', 'Colaboradores usando AI generativa de forma independente e descentralizada')",4.l.1 Colaboradores usando AI generativa de forma independente e descentralizada,4.i.1 Colaboradores usando AI generativa de forma independente e descentralizada,3
ia_llm_empresa_frente_negoc,"('P3_f_6 ', 'IA Generativa e LLMs como principal frente do negócio')",4.l.6 IA Generativa e LLMs como principal frente do negócio,4.i.6 IA Generativa e LLMs como principal frente do negócio,3
ia_llm_empresa_nao_prioridade,"('P3_f_7 ', 'IA Generativa e LLMs não é prioridade')",4.l.7 IA Generativa e LLMs não é prioridade,4.i.7 IA Generativa e LLMs não é prioridade,3
ia_llm_empresa_prod_externo,"('P4_l_4 ', 'AI Generativa e LLMs para melhorar produtos externos para os clientes finais')",4.l.4 AI Generativa e LLMs para melhorar produtos externos para os clientes finais,4.i.4 AI Generativa e LLMs para melhorar produtos externos para os clientes finais,3
ia_llm_empresa_prod_interno,"('P3_f_5 ', 'AI Generativa e LLMs para melhorar produtos internos para os colaboradores')",4.l.5 AI Generativa e LLMs para melhorar produtos internos para os colaboradores,4.i.5 AI Generativa e LLMs para melhorar produtos internos para os colaboradores,3
ia_llm_empresa_sem_opiniao,"('P3_f_8 ', 'Não sei opinar sobre o uso de IA Generativa e LLMs na empresa')",4.l.8 Não sei opinar sobre o uso de IA Generativa e LLMs na empresa,4.i.8 Não sei opinar sobre o uso de IA Generativa e LLMs na empresa,3
ia_llm_empresa_uso_centralizado,"('P3_f_2 ', 'Direcionamento centralizado do uso de AI generativa')",4.l.2 Direcionamento centralizado do uso de AI generativa,4.i.2 Direcionamento centralizado do uso de AI generativa,3
ia_llm_empresa_uso_copilot,"('P3_f_3 ', 'Desenvolvedores utilizando Copilots')",4.l.3 Desenvolvedores utilizando Copilots,4.i.3 Desenvolvedores utilizando Copilots,3
ia_llm_nao_prioridade,,3.f.7 IA Generativa e LLMs não é prioridade,3.f.7 IA Generativa e LLMs não é prioridade,2
ibm,"('P4_h_5 ', 'IBM')",4.h.5_IBM,4.e.5_IBM,3
ibm_analytics_cognos,"('P4_j_13 ', 'IBM Analytics/Cognos')",,,1
ibm_data_stage,"('P6_b_14 ', 'IBM DataStage')",6.b.14_IBM DataStage,6.b.14_IBM DataStage,3
ibm_data_stage_analista,"('P7_b_14 ', 'IBM DataStage')",7.b.14_IBM DataStage,7.b.14_IBM DataStage,3
id,"('P0', 'id')",,,1
idade,"('P1_a ', 'Idade')",1.a_idade,1.a_idade,3
img,"('P4_b_3 ', 'Imagens')",4.b.3_Imagens,4.b.3_Imagens,3
img_fonte,"('P4_c_3 ', 'Imagens')",4.c.3_Imagens,,2
incerteza_rel_regulamentacao,"('P3_g_3 ', 'Incerteza em relação a regulamentação')",3.g.3 Incerteza em relação a regulamentação,3.h.3 Incerteza em relação a regulamentação,3
infra_modelo_clusters_servidores_tmp_gasto_cientista,"('P8_d_11 ', 'Criando e mantendo a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)')","8.d.11_Criando e mantendo a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)","8.d.11_Criando e mantendo a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)",3
infra_modelos_rodam_em_clusters_api_etc,"('P8_a_11 ', 'Sou responsável por criar e manter a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)')","8.a.11_Sou responsável por criar e manter a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)","8.a.11_Sou responsável por criar e manter a infra que meus modelos e soluções rodam (clusters, servidores, API, containers, etc.)",3
inovacao_atraves_area_dados,"('P3_d_12 ', 'Conseguir levar inovação para a empresa através dos dados.')",3.d.12_Conseguir levar inovação para a empresa,3.d.12_Conseguir levar inovação para a empresa,3
integracao_dados_plataformas_dados,"('P6_a_4 ', 'Atuo na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.')","6.a.4_Atuo na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.","6.a.4_Atuo na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.",3
integracao_fonte_dados_diferentes_tmp_gasto,"('P6_h_4 ', 'Atuando na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.')","6.h.4_Atuando na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.","6.h.4_Atuando na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.",3
java,"('P4_d_6 ', 'Java')",4.d.6_Java,,2
js,"('P4_d_14 ', 'JavaScript')",4.d.14_JavaScript,,2
julia,"('P4_d_7 ', 'Julia')",4.d.7_Julia,4.c.5_Julia,3
knime,"('P6_b_19 ', 'Knime')",6.b.19_Knime,6.b.19_Knime,3
knime_analista,"('P7_b_19 ', 'Knime')",7.b.19_Knime,7.b.19_Knime,3
layoff_2024,,2.q_empresa_passou_por_layoff_em_2024,,1
layoff_2025,,,2.p_empresa_passou_por_layoff_em_2025,1
linguagem_mais_utilizada_trab,"('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')",4.e_linguagem_mais_usada,,2
linguagem_preferida,"('P4_f ', 'Entre as linguagens listadas abaixo, qual é a sua preferida?')",4.f_linguagem_preferida,4.c_linguagem_preferida,3
linguagens_utilizadas_trab,"('P4_d ', 'Quais das linguagens listadas abaixo você utiliza no trabalho?')",4.d_linguagem_de_programacao_(dia_a_dia),,2
llm_cientista_dados_uso,"('P8_b_14 ', 'Utilizo LLM's para solucionar problemas de negócio')",8.b.14_Utilizo LLM's para solucionar problemas de negócio.,8.b.14_Utilizo LLM's para solucionar problemas de negócio.,3
llms_bom_resultado,,,3.g_empresa_está_conseguindo_ter_bons_resultados_com_llms,1
looker,"('P4_j_7 ', 'Looker')",4.j.7_Looker,4.g.7_Looker,3
looker_studio,"('P4_j_8 ', 'Looker Studio(Google Data Studio)')",4.j.8_Looker Studio(Google Data Studio),4.g.8_Looker Studio(Google Data Studio),3
luigi,"('P6_b_5 ', 'Luigi')",6.b.5_Luigi,6.b.5_Luigi,3
luigi_analista,"('P7_b_5 ', 'Luigi')",7.b.5_Luigi,7.b.5_Luigi,3
maior_parte_tempo_gasta,"('P6_h ', 'Em qual das opções abaixo você gasta a maior parte do seu tempo?')",6.h_maior_tempo_gasto_como_de,6.h_maior_tempo_gasto_como_de,3
maior_parte_tempo_gasto_analista,"('P7_d ', 'Em qual das opções abaixo você gasta a maior parte do seu tempo de trabalho?')",7.d_maior_tempo_gasto_como_da,7.d_maior_tempo_gasto_como_da,3
mais_beneficios_insatisfacao,"('P2_l_5 ', 'Gostaria de receber mais benefícios')",,,1
manutencao_criacao_rep_dados_streaming,"('P6_a_6 ', 'Desenvolvo/cuido da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.')",6.a.6_Desenvolvo/cuido da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.,6.a.6_Desenvolvo/cuido da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.,3
manutencao_etl_dag_tmp_gasto_cientista,"('P8_d_9 ', 'Criando e dando manutenção em ETLs, DAGs e automações de pipelines de dados.')","8.d.9_Criando e dando manutenção em ETLs, DAGs e automações de pipelines de dados.","8.d.9_Criando e dando manutenção em ETLs, DAGs e automações de pipelines de dados.",3
manutencao_etl_utilizando_ferramenta_etl_analista,"('P7_a_6 ', 'Desenvolvo/cuido da manutenção de ETL's utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.')","7.a.6_Desenvolvo/cuido da manutenção de ETL\s utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.","7.a.6_Desenvolvo/cuido da manutenção de ETL\s utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.",3
manutencao_ml_em_prod_monitoramento_ajuste_tmp_gasto_cientista,"('P8_d_6 ', 'Cuidando da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.')","8.d.6_Cuidando da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.","8.d.6_Cuidando da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.",3
manutencao_ml_prod_tmp_gasto_cientista,"('P8_d_5 ', 'Colocando modelos em produção, criando os pipelines de dados, APIs de consumo e monitoramento.')","8.d.5_Colocando modelos em produção, criando os pipelines de dados, APIs de consumo e monitoramento.","8.d.5_Colocando modelos em produção, criando os pipelines de dados, APIs de consumo e monitoramento.",3
manutencao_modelo_ml_producao_melhorias,"('P8_a_6 ', 'Cuido da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.')","8.a.6_Cuido da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.","8.a.6_Cuido da manutenção de modelos de Machine Learning já em produção, atuando no monitoramento, ajustes e refatoração quando necessário.",3
manutencao_planilha_area_negocio,"('P7_a_8 ', 'Desenvolvo/cuido da manutenção de planilhas para atender as áreas de negócio.')",7.a.8_Desenvolvo/cuido da manutenção de planilhas para atender as áreas de negócio.,7.a.8_Desenvolvo/cuido da manutenção de planilhas para atender as áreas de negócio.,3
manutencao_planilhas_analista,"('P7_d_8 ', 'Desenvolvendo/cuidando da manutenção de planilhas do Excel ou Google Sheets para atender as áreas de negócio.')",7.d.8_Desenvolvendo/cuidando da manutenção de planilhas para atender as áreas de negócio.,7.d.8_Desenvolvendo/cuidando da manutenção de planilhas para atender as áreas de negócio.,3
manutencao_projetos_model_prod_meio_cresc_empresa,"('P3_d_11 ', 'k Garantir a manutenção dos projetos e modelos em produção, em meio ao crescimento da empresa.')",3.d.11_Garantir a manutenção dos projetos e modelos em produção,3.d.11_Garantir a manutenção dos projetos e modelos em produção,3
maria_db,"('P4_g_9 ', 'MariaDB')",4.g.9_MariaDB,4.d.9_MariaDB,3
matlab,"('P4_d_11 ', 'Matlab')",4.d.11_Matlab,,2
maturidade_empresa_dados_tec_escolha_emprego,"('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')",2.o.8_Maturidade da empresa em termos de tecnologia e dados,2.o.8_Maturidade da empresa em termos de tecnologia e dados,3
maturidade_empresa_dados_tec_insatisfacao,,2.l.8_Maturidade da empresa em termos de tecnologia e dados,2.l.8_Maturidade da empresa em termos de tecnologia e dados,2
metabase,"('P4_j_4 ', 'Metabase')",4.j.4_Metabase,4.g.4_Metabase,3
metodo_estatistico_bayesiano_analise,"('P8_b_4 ', 'Utilizo métodos estatísticos Bayesianos para analisar dados')",8.b.4_Utilizo métodos estatísticos Bayesianos para analisar dados.,8.b.4_Utilizo métodos estatísticos Bayesianos para analisar dados.,3
metodos_estatisticos_classicos,"('P8_b_6 ', 'Utilizo métodos estatísticos clássicos (Testes de hipótese, análise multivariada, sobrevivência, dados longitudinais, inferência estatistica) para analisar dados')","8.b.6_Utilizo métodos estatísticos clássicos (Testes de hipótese, análise multivariada, sobrevivência, dados longitudinais, inferência estatistica) para analisar dados.","8.b.6_Utilizo métodos estatísticos clássicos (Testes de hipótese, análise multivariada, sobrevivência, dados longitudinais, inferência estatistica) para analisar dados.",3
microsoft_acess,"('P4_g_15 ', 'Microsoft Access')",4.g.15_Microsoft Access,4.d.15_Microsoft Access,3
microstategy,"('P4_j_12 ', 'MicroStrategy')",,,1
ml_deteccao_fraude,"('P8_b_11 ', 'Utilizo modelos de Machine Learning para detecção de fraude')",8.b.11_Utilizo modelos de Machine Learning para detecção de fraude.,8.b.11_Utilizo modelos de Machine Learning para detecção de fraude.,3
mode,"('P4_j_10 ', 'Mode')",,,1
modelagem_arquitetura_dados_tmp_gasto,"('P6_h_5 ', 'Modelando soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.')","6.h.5_Modelando soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.","6.h.5_Modelando soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.",3
modelagem_dados_dw_data_mart_analista,"('P7_d_7 ', 'Atuando na modelagem dos dados, com o objetivo de criar conjuntos de dados, Data Warehouses, Data Marts etc.')","7.d.7_Atuando na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts, Datasets etc.","7.d.7_Atuando na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts, Datasets etc.",3
modelagem_dados_dw_data_mart_maior_tempo_gasto,"('P6_h_7 ', 'Atuando na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts etc.')","6.h.7_Atuando na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts, Datasets etc.","6.h.7_Atuando na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts, Datasets etc.",3
modelagem_dados_dw_data_mart_rotina_atual,"('P6_a_7 ', 'Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts etc.')","6.a.7_Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts, Datasets etc.","6.a.7_Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts, Datasets etc.",3
modelagem_dw_data_mart_analista,"('P7_a_7 ', 'Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados, Data Warehouses, Data Marts etc.')","7.a.7_Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts etc.","7.a.7_Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts etc.",3
modelo_deteccao_churn,"('P8_b_13 ', 'Utilizo modelos de Detecção de Churn')",8.b.13_Utilizo modelos de Detecção de Churn.,8.b.13_Utilizo modelos de Detecção de Churn.,3
modelo_trabalho_atual,"('P2_r ', 'Atualmente qual a sua forma de trabalho?')",2.r_modelo_de_trabalho_atual,2.q_modelo_de_trabalho_atual,3
modelo_trabalho_ideal,"('P2_s ', 'Qual a forma de trabalho ideal para você?')",2.s_modelo_de_trabalho_ideal,2.r_modelo_de_trabalho_ideal,3
modelos_preditivos,"('P8_b_9 ', 'Realizo previsões através de modelos de Séries Temporais (Time Series)')",8.b.9_Realizo previsões através de modelos de Séries Temporais (Time Series).,8.b.9_Realizo previsões através de modelos de Séries Temporais (Time Series).,3
mongo_db,"('P4_g_8 ', 'MongoDB')",4.g.8_MongoDB,4.d.8_MongoDB,3
motiv_empresa_nao_usar_ia_gen_llm,"('P3_g ', 'Motivos que levam a empresa a não usar AI Genrativa e LLMs')",3.g_motivos_para_não_usar_ai_generativa_e_llm,3.h_motivos_para_não_usar_ai_generativa_e_llm,3
motivo_insatis_empresa_atual_insatisfacao,"('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?')",2.l_motivo_insatisfacao,2.l_motivo_insatisfacao,3
mudar_emprego_prox_6_meses,"('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?')",2.n_planos_de_mudar_de_emprego_6m,2.n_planos_de_mudar_de_emprego_6m,3
mudou_estado,"('P1_j ', 'Mudou de Estado?')",,,1
my_sql,"('P4_g_1 ', 'MySQL')",4.g.1_MySQL,4.d.1_MySQL,3
n_funcionarios,"('P2_c ', 'Numero de Funcionarios')",2.c_numero_de_funcionarios,2.c_numero_de_funcionarios,3
nao_sei_informar_ferramenta_autonomia_area_neg,"('P7_c_6 ', 'Não sei informar.')",7.c.6_Não sei informar.,7.c.6_Não sei informar.,3
nao_sendo_cargo_exerce_funcao,"('P4_a ', 'Mesmo que esse não seja seu cargo formal, você considera que sua atuação no dia a dia, reflete alguma das opções listadas abaixo?')",4.a_funcao_de_atuacao,4.a_funcao_de_atuacao,3
nao_uso_ia_gen_produtividade,"('P4_m_1 ', 'Não uso soluções de AI Generativa com foco em produtividade')",4.m.1 Não uso soluções de AI Generativa com foco em produtividade,4.j.1 Não uso soluções de AI Generativa com foco em produtividade,3
nao_utilizo_ferramentas_etl_analista,"('P7_b_21 ', 'Não utilizo ferramentas de ETL')",7.b.21_Não utilizo ferramentas de ETL,7.b.21_Não utilizo ferramentas de ETL,3
nao_utilizo_nenhuma,"('P4_d_15 ', 'Não utilizo nenhuma linguagem')",4.d.15_Não utilizo nenhuma das linguagens listadas,4.c.10_Não utilizo nenhuma das linguagens listadas,3
nenhuma_das_opcoes_analista,"('P6_h_9 ', 'Nenhuma das opções listadas refletem meu dia a dia.')",7.a.10_Nenhuma das opções listadas refletem meu dia a dia.,7.a.10_Nenhuma das opções listadas refletem meu dia a dia.,3
nenhuma_das_opcoes_tmp_gasto,"('P7_d_10 ', 'Nenhuma das opções listadas refletem meu dia a dia.')",6.h.9_Nenhuma das opções listadas refletem meu dia a dia.,6.h.9_Nenhuma das opções listadas refletem meu dia a dia.,3
nenhuma_ferramenta_bi,"('P4_j_23 ', 'Não utilizo nenhuma ferramenta de BI no trabalho')",4.j.18_Não utilizo nenhuma ferramenta de BI no trabalho,4.g.18_Não utilizo nenhuma ferramenta de BI no trabalho,3
nenhuma_opcao_engenheiro_dados,"('P6_a_9 ', 'Nenhuma das opções listadas refletem meu dia a dia.')",6.a.9_Nenhuma das opções listadas refletem meu dia a dia.,6.a.9_Nenhuma das opções listadas refletem meu dia a dia.,3
nenhuma_opcao_listada_atv_analista,"('P7_a_10 ', 'Nenhuma das opções listadas refletem meu dia a dia.')",7.d.10_Nenhuma das opções listadas refletem meu dia a dia.,7.d.10_Nenhuma das opções listadas refletem meu dia a dia.,3
neo4j,"('P4_g_21 ', 'Neo4J')",4.g.21_Neo4J,4.d.21_Neo4J,3
net,"('P4_d_5 ', '.NET')",4.d.5_.NET,,2
nivel_ensino,"('P1_l ', 'Nivel de Ensino')",1.l_nivel_de_ensino,1.l_nivel_de_ensino,3
num_prof_dados_atuando_empresa_hoje,"('P3_a ', 'Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?')",3.a_numero_de_pessoas_em_dados,3.a_numero_de_pessoas_em_dados,3
nvl_cobranca_e_stress_trab,"('P1_f_6', 'Nível de cobrança no trabalho/Stress no trabalho')",1.f.6_Nível de cobrança no trabalho/Stress no trabalho,1.f.6_Nível de cobrança no trabalho/Stress no trabalho,3
obj_area_dados,"('P5_a ', 'Qual seu objetivo na área de dados?')",5.a_objetivo_na_area_de_dados,5.a_objetivo_na_area_de_dados,3
on_premise,"('P4_h_6 ', 'Servidores On Premise/Não utilizamos Cloud')",4.h.6_Servidores On Premise/Não utilizamos Cloud,4.e.6_Servidores On Premise/Não utilizamos Cloud,3
oport_aprendizado_trab_ref_area_escolha_emprego,"('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')",2.o.6_Oportunidade de aprendizado e trabalhar com referências,2.o.6_Oportunidade de aprendizado e trabalhar com referências,3
oport_aprendizado_trab_ref_area_insatisfacao,,2.l.6_Oportunidade de aprendizado e trabalhar com referências,2.l.6_Oportunidade de aprendizado e trabalhar com referências,2
oportunidade_almejada,"('P5_b ', 'Qual oportunidade você está buscando?')",5.b_oportunidade_buscada,5.b_oportunidade_buscada,3
oportunidades_progresso_carreira,"('P1_f_4', 'Oportunidades de progressão de carreira')",1.f.4_Oportunidades de progressão de carreira,1.f.4_Oportunidades de progressão de carreira,3
